perturbation,level,representation,class_top1,class_top3,vector_cosine,rank_stability,mean_confidence,ece
fluorescence,0.1,legacy_11_axis,0.608,0.7946666666666666,,,,
fluorescence,0.2,raw_spectrum,0.4106666666666667,0.616,,,,
fluorescence,0.2,csm_49,0.8,0.944,,,,
fluorescence,0.2,chemistry_evidence_16,0.744,0.936,0.8989692514565496,0.816,0.6233623456311445,0.1206376543688556
fluorescence,0.2,legacy_theme_bsv,0.30666666666666664,0.6613333333333333,,,,
fluorescence,0.2,legacy_11_axis,0.488,0.7466666666666667,,,,
fluorescence,0.4,raw_spectrum,0.2906666666666667,0.4533333333333333,,,,
fluorescence,0.4,csm_49,0.672,0.8773333333333333,,,,
fluorescence,0.4,chemistry_evidence_16,0.504,0.848,0.7728928123573402,0.5573333333333333,0.4908294402681771,0.07451603453378854
fluorescence,0.4,legacy_theme_bsv,0.20533333333333334,0.4666666666666667,,,,
fluorescence,0.4,legacy_11_axis,0.35733333333333334,0.648,,,,
fluorescence,0.8,raw_spectrum,0.16266666666666665,0.3546666666666667,,,,
fluorescence,0.8,csm_49,0.296,0.5866666666666667,,,,
fluorescence,0.8,chemistry_evidence_16,0.224,0.48533333333333334,0.5896312035134853,0.256,0.44391907792512797,0.21991907792512794
fluorescence,0.8,legacy_theme_bsv,0.112,0.2906666666666667,,,,
fluorescence,0.8,legacy_11_axis,0.23733333333333334,0.45066666666666666,,,,
wavelength_shift,1.0,raw_spectrum,0.592,0.76,,,,
wavelength_shift,1.0,csm_49,0.8346666666666667,0.968,,,,
wavelength_shift,1.0,chemistry_evidence_16,0.8426666666666667,0.976,0.9727173394288616,0.9653333333333334,0.7689114728002713,0.07820765859768963
wavelength_shift,1.0,legacy_theme_bsv,0.5013333333333333,0.8,,,,
wavelength_shift,1.0,legacy_11_axis,0.656,0.856,,,,
wavelength_shift,2.0,raw_spectrum,0.592,0.7653333333333333,,,,
wavelength_shift,2.0,csm_49,0.8266666666666667,0.9653333333333334,,,,
wavelength_shift,2.0,chemistry_evidence_16,0.84,0.9733333333333334,0.9712542181554483,0.96,0.7674151206630082,0.07728529201980967
wavelength_shift,2.0,legacy_theme_bsv,0.496,0.7973333333333333,,,,
wavelength_shift,2.0,legacy_11_axis,0.6586666666666666,0.8426666666666667,,,,
wavelength_shift,4.0,raw_spectrum,0.5706666666666667,0.768,,,,
wavelength_shift,4.0,csm_49,0.8133333333333334,0.9653333333333334,,,,
wavelength_shift,4.0,chemistry_evidence_16,0.8293333333333334,0.968,0.9653668934946154,0.944,0.7575585323823744,0.08483107183446573
wavelength_shift,4.0,legacy_theme_bsv,0.49066666666666664,0.7866666666666666,,,,
wavelength_shift,4.0,legacy_11_axis,0.6533333333333333,0.8293333333333334,,,,
wavelength_shift,8.0,raw_spectrum,0.5626666666666666,0.768,,,,
wavelength_shift,8.0,csm_49,0.7706666666666667,0.952,,,,
wavelength_shift,8.0,chemistry_evidence_16,0.776,0.96,0.937454820481713,0.8666666666666667,0.7194021649262375,0.08495922500165666
wavelength_shift,8.0,legacy_theme_bsv,0.448,0.768,,,,
wavelength_shift,8.0,legacy_11_axis,0.6213333333333333,0.8293333333333334,,,,
wavelength_shift,16.0,raw_spectrum,0.4826666666666667,0.7066666666666667,,,,
wavelength_shift,16.0,csm_49,0.6213333333333333,0.8346666666666667,,,,
wavelength_shift,16.0,chemistry_evidence_16,0.6,0.84,0.8241678234888603,0.6613333333333333,0.6628929233028948,0.0878678900383828
wavelength_shift,16.0,legacy_theme_bsv,0.384,0.712,,,,
wavelength_shift,16.0,legacy_11_axis,0.52,0.7573333333333333,,,,
spectral_stretch,0.001,raw_spectrum,0.5893333333333334,0.7653333333333333,,,,
spectral_stretch,0.001,csm_49,0.8426666666666667,0.968,,,,
spectral_stretch,0.001,chemistry_evidence_16,0.8453333333333334,0.976,0.9732164029094611,0.9733333333333334,0.7686133428056454,0.08110954739473752
spectral_stretch,0.001,legacy_theme_bsv,0.49333333333333335,0.7973333333333333,,,,
spectral_stretch,0.001,legacy_11_axis,0.6613333333333333,0.8533333333333334,,,,
spectral_stretch,0.002,raw_spectrum,0.5893333333333334,0.7653333333333333,,,,
spectral_stretch,0.002,csm_49,0.8373333333333334,0.968,,,,
spectral_stretch,0.002,chemistry_evidence_16,0.8453333333333334,0.976,0.973101827194518,0.9706666666666667,0.7678101222401722,0.08132506158994292
spectral_stretch,0.002,legacy_theme_bsv,0.496,0.8053333333333333,,,,
spectral_stretch,0.002,legacy_11_axis,0.6586666666666666,0.8506666666666667,,,,
spectral_stretch,0.005,raw_spectrum,0.592,0.76,,,,
spectral_stretch,0.005,csm_49,0.8293333333333334,0.968,,,,
spectral_stretch,0.005,chemistry_evidence_16,0.8426666666666667,0.9733333333333334,0.972058401947692,0.96,0.7646828138657178,0.08054716750418305
