analyte,concentration_top3,n_components_for_90pct,dominant_components,dominant_weights,entropy,signature_uniqueness,nearest_neighbours,nn_similarity,assignment_confidence
trilinolein,0.8710721395965082,4,"[1, 7, 10]","[0.4232, 0.3965, 0.0514]",0.502923710856215,0.01268955391499782,"['linoleic acid', 'palmitoleic acid', 'trilinolenin']","[0.9873, 0.9538, 0.9437]",low
trilinolenin,0.8368564679307503,5,"[7, 1, 4]","[0.4945, 0.2757, 0.0666]",0.6106437256454942,0.015032737751215608,"['α-linolenic acid', 'arachidonic acid', 'linoleic acid']","[0.985, 0.9614, 0.9444]",low
trimyristin,0.940797234602777,2,"[16, 1, 2]","[0.4589, 0.4543, 0.0276]",0.49100878905767353,0.000803320606882707,"['trilaurin', 'triarachidin', 'tripalmitin']","[0.9992, 0.9988, 0.9987]",low
triolein,0.6993581807195923,8,"[1, 7, 4]","[0.4818, 0.1347, 0.0829]",0.6471194522808095,0.002434309181902572,"['oleate', 'vaccenic acid', 'α-phosphatidylethanolamine']","[0.9976, 0.9953, 0.9889]",low
triosephosphate isomerase,0.48072082016716844,10,"[2, 22, 1]","[0.2452, 0.1338, 0.1017]",0.8000592442413981,0.038677468873899,"['lactalbumin', 'pepsin', 'glutathione transferase']","[0.9613, 0.9377, 0.9067]",low
tripalmitin,0.9285879445479096,2,"[16, 1, 2]","[0.4708, 0.431, 0.0267]",0.41973492711691107,0.0004635383169605545,"['triarachidin', 'tristearin', 'tribehenin']","[0.9995, 0.9995, 0.9993]",low
tripalmitolein,0.8505536799621625,5,"[1, 7, 22]","[0.6101, 0.196, 0.0444]",0.5333419891014578,0.0066702976487752474,"['vaccenic acid', 'tri-11-eicosenoin', 'palmitoleic acid']","[0.9933, 0.9889, 0.9849]",low
tripetroselinin,0.8619315859388953,4,"[1, 16, 7]","[0.4403, 0.3188, 0.1029]",0.6322595419932244,0.019107780899678017,"['trierucin', 'sphingomyelin', 'tricaprin']","[0.9809, 0.9783, 0.9707]",low
tristearin,0.9636669611108339,2,"[16, 1, 2]","[0.4921, 0.4365, 0.0351]",0.45564133100093557,0.0002375791029163299,"['tribehenin', 'triarachidin', 'tripalmitin']","[0.9998, 0.9996, 0.9995]",low
trypsin,0.5987376671003293,11,"[2, 7, 22]","[0.4029, 0.1108, 0.085]",0.7039350282318535,0.008989122996459042,"['trypsinogen', 'major proteinase', 'elastase']","[0.991, 0.9849, 0.9752]",low
