component,analyte,loading,normalized_loading,contribution_pct,molecular_class,chemical_family,subfamily,molecular_weight,biochemical_role
1,fructose,0.03268153130446072,0.05170342233411227,0.13876802369175703,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
1,(-)-fructose,0.032428184337052135,0.05130261782067123,0.1376922950899338,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
1,malic acid,0.032194011139794455,0.05093214693898734,0.13669797963138633,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
1,(+)-sucrose,0.03191301860615662,0.05048760609100613,0.13550486605902018,carbohydrate,saccharide,disaccharide,unavailable,unavailable
1,succinic acid,0.03184338486197731,0.05037744286608047,0.13520919640474358,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
1,(-)-ribose,0.028189104492401806,0.04459623269219765,0.11969287129202273,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
1,(+)-maltose,0.027877101954538994,0.04410263284113333,0.11836808711460182,carbohydrate,saccharide,disaccharide,unavailable,unavailable
1,gluth,0.027789051565006835,0.04396333378460341,0.1179942191208766,unassigned,unknown,unavailable,unavailable,unavailable
1,t-rna,0.027294564914535985,0.04318103714465419,0.1158945948839171,nucleic,nucleic_acid,unavailable,unavailable,unavailable
1,histidine,0.025991469372092096,0.0411194905621206,0.11036156182552441,protein/peptide,amino_acid,aromatic amino acid,unavailable,unavailable
1,trypsin inhibitor,0.024668832744421058,0.03902702924144473,0.10474555597884644,protein/peptide,protein,unavailable,unavailable,unavailable
1,b-dna,0.023925096991053774,0.037850411065169766,0.10158760295387326,nucleic,nucleic_acid,unavailable,unavailable,unavailable
1,acetyl coenzyme a,0.023023689168744192,0.036424349694361736,0.09776016350873568,protein/peptide,protein,unavailable,unavailable,unavailable
1,phosphoenolpyruvate,0.02093598945875021,0.03312152955392696,0.0888956473354015,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
1,tryptophan,0.018873088617408388,0.029857942164472722,0.08013642885943019,protein/peptide,amino_acid,aromatic amino acid,unavailable,unavailable
1,mannose,0.017984204653275257,0.028451694012406412,0.07636216657517751,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
1,glycine,0.017619633392811883,0.027874928447934693,0.07481417199566984,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
1,glutamate,0.017435672168993967,0.027583894813079903,0.0740330600206124,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
1,a-dna,0.017427565769659117,0.02757107018180684,0.07399863969298229,nucleic,nucleic_acid,unavailable,unavailable,unavailable
1,n-acetylglucosamine,0.012575023620689811,0.019894164415521762,0.05339441287079808,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
1,alanine,0.01224680664308207,0.019374912705668046,0.052000781069998975,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
1,cellulose,0.011981857343970675,0.018955752863325723,0.05087578817190958,carbohydrate,polysaccharide,unavailable,unavailable,unavailable
1,xylanase,0.011637166201535857,0.0184104383997497,0.04941220593721775,protein/peptide,protein,unavailable,unavailable,unavailable
1,(+)-mannose,0.010879880603803859,0.017212383855661248,0.046196719343627304,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
1,carotene,0.009113645920638862,0.014418133582805383,0.038697165724939,lipid,carotenoid,unavailable,unavailable,unavailable
1,amylopectin,0.00909518262026939,0.014388923941194922,0.038618769285089526,carbohydrate,polysaccharide,unavailable,unavailable,unavailable
1,fructose-6-phosphate,0.008774722496202035,0.013881943867907016,0.03725807361650032,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
1,myoglobin,0.0056274693063790085,0.008902869927035963,0.023894620688280004,protein/peptide,protein,unavailable,unavailable,unavailable
