method,K,n_scored,chemically_admissible,top1,top3,null_top1,null_p95,kappa,above_null_p95,macro_f1,balanced_acc,mean_expected_rank,median_expected_rank,ece,mean_confidence,chem_coherence,spec_coherence,resolution,interpretability,score_kappa_x_interp,theme_overlap,theme_usage_entropy,max_theme_size,min_theme_size,theme_names,pareto
E_hybrid,7,163,False,0.7975,0.9693,0.2765,0.3313,0.7202,True,0.6573,0.6259,1.294,1,0.3667,0.4308,0.281,0.771,0.6868,0.5498,0.3959,0.5355,0.776,4,1,Oxopurine + Purine + Sulfur | Pyrimidine | Monosaccharide + Phosphate + Polysaccharide… | Aromatic + Carotenoid | Free + Organic | Acyl lipid | Flavin + Porphyrin + Sterol,True
E_hybrid,8,163,False,0.7362,0.9693,0.1823,0.2331,0.6774,True,0.6791,0.6763,1.417,1,0.3504,0.3858,0.3048,0.794,0.734,0.5803,0.3931,0.5359,0.886,3,1,Oxopurine + Purine + Sulfur | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Polysaccharide + Protein | Free + Organic | Acyl lipid | Flavin + Porphyrin + Sterol,False
E_hybrid,9,163,False,0.7362,0.9571,0.1812,0.227,0.6778,True,0.6213,0.6492,1.491,1,0.3585,0.3777,0.2955,0.8324,0.7755,0.6006,0.4071,0.5406,0.8692,3,1,Oxopurine + Purine + Sulfur | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Polysaccharide + Protein | Free + Organic | Acyl lipid | Sterol | Flavin + Porphyrin,True
E_hybrid,10,163,False,0.6994,0.9325,0.176,0.2209,0.6352,True,0.5331,0.5815,1.656,1,0.3374,0.362,0.2812,0.8502,0.8127,0.6114,0.3883,0.5372,0.8579,2,1,Purine | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Polysaccharide + Protein | Free + Organic | Acyl lipid | Sterol | Sulfur metabolite | Flavin + Porphyrin,True
E_hybrid,11,163,False,0.6503,0.9018,0.1696,0.2147,0.5789,True,0.4446,0.507,1.755,1,0.2974,0.3529,0.3973,0.8962,0.8464,0.6817,0.3946,0.5381,0.8238,2,1,Purine | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Polysaccharide + Protein | Free amino acid | Acyl lipid | Sterol | Organic acid | Sulfur metabolite | Flavin + Porphyrin,False
E_hybrid,12,163,False,0.5828,0.8834,0.1564,0.1963,0.5055,True,0.4341,0.517,1.914,1,0.2447,0.3381,0.504,0.9224,0.8771,0.7414,0.3748,0.5387,0.7761,2,1,Purine | Pyrimidine | Monosaccharide + Phosphate | Aromatic + Carotenoid | Protein backbone | Free amino acid | Acyl lipid | Sterol | Polysaccharide | Organic acid | Sulfur metabolite | Flavin + Porphyrin,False
E_hybrid,13,163,True,0.6135,0.8896,0.1629,0.2086,0.5383,True,0.5014,0.5543,1.834,1,0.2818,0.3317,0.6085,0.9469,0.9053,0.7991,0.4301,0.5342,0.7357,2,1,Purine | Pyrimidine | Monosaccharide + Phosphate | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Polysaccharide | Organic acid | Sulfur metabolite | Flavin + Porphyrin | Carotenoid,False
E_hybrid,14,163,True,0.5521,0.8589,0.1431,0.184,0.4774,True,0.4203,0.5018,1.994,1,0.2341,0.3181,0.5862,0.9621,0.9315,0.8025,0.3831,0.5308,0.7369,2,1,Purine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Flavin + Porphyrin | Carotenoid,False
E_hybrid,15,163,True,0.5583,0.8957,0.1447,0.184,0.4836,True,0.4579,0.5406,1.859,1,0.2481,0.3102,0.6251,0.9728,0.9558,0.8286,0.4007,0.5284,0.7253,2,1,Purine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
E_hybrid,16,163,True,0.5521,0.9018,0.1471,0.184,0.4749,True,0.4275,0.4971,1.877,1,0.2475,0.3046,0.606,0.9961,0.9786,0.8348,0.3965,0.5197,0.7188,2,1,Purine | Oxopurine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
