cid,arm,pk_matched,pk_mismatched,pk_random,pk_effect_vs_mismatched,pk_effect_size
E_d0,E_derivative,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
E_d1,E_derivative,0.9424021145942396,0.9157044875412363,0.75193931131648,0.0266976270530032,0.3074653888007875
E_d2,E_derivative,0.9668523848910974,0.9638396099785492,0.8141628478825638,0.0030127749125481,-0.0452313044632013
E_dconcat,E_derivative,,,,,
F_global,F_modality,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
F_modspec,F_modality,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
F_modspec_norm,F_modality,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
F_pk_peak_likelihood,F_modality,0.9493594903473788,0.9466941577694497,0.8058997703391991,0.0026653325779292,0.0937490957177494
F_pk_prominence,F_modality,0.4814109102014569,0.440151533857856,0.3185757236285425,0.0412593763436009,0.2306125197995136
F_pk_ridge,F_modality,0.813430746054849,0.8135311197371721,0.5919969918073685,-0.0001003736823232,0.0119536116872951
G_combo0,G_combined,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
G_combo1,G_combined,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
G_combo2,G_combined,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
G_combo3,G_combined,0.8737847672662266,0.872367170830253,0.7269493524527221,0.0014175964359736,0.0068404391989897
G_combo4,G_combined,0.8485585378676133,0.8411825333897541,0.6839531350432699,0.0073760044778591,0.0351681708923495
G_combo5,G_combined,0.9671360279400129,0.9563181019595668,0.8102292562793647,0.0108179259804457,0.2769184676194838
G_combo6,G_combined,0.8175175335160286,0.80665216253997,0.6458056203778794,0.0108653709760587,0.1304305234169723
G_combo7,G_combined,0.8327558266299393,0.8344605663891691,0.6812361066085308,-0.0017047397592299,-0.0158618296431512
