lsm_a,lsm_b,class_a,class_b,same_class,spectral_cosine,band_overlap,peak_agreement,bootstrap_cooccurrence,activation_cooccurrence,provenance_overlap,substitutability,edge_weight
peptide_protein.m00,sterol_steroid.m00,peptide_protein,sterol_steroid,False,0.6946734370720398,0.22588927369629547,0.25,0.6542961714743735,0.8699425811380272,0.0,0.9248607609846967,0.3384105495795275
carboxylic_acid_metabolite.m00,sterol_steroid.m02,carboxylic_acid_metabolite,sterol_steroid,False,0.41767897837441204,0.21785219661459837,0.25,0.2715054072450113,0.4460550202485687,1.0,0.6416735145723588,0.3381715263953624
polysaccharide.m00,sterol_steroid.m02,polysaccharide,sterol_steroid,False,0.4321232041506001,0.1277771088305488,0.25,0.4163961793000009,0.58556231876915,1.0,0.8935936042336252,0.3374606284055986
phospholipid_sphingolipid.m01,purine.m01,phospholipid_sphingolipid,purine,False,0.4266030465795891,0.21228829116421244,0.25,0.2894693401995928,0.7237848805211234,1.0,0.35696452844721344,0.33720277867322745
nucleic_acid_polymer.m00,polysaccharide.m00,nucleic_acid_polymer,polysaccharide,False,0.4293272111038495,0.1398486568466533,0.25,0.40775164943957476,0.6039330688287046,1.0,0.6768642215586466,0.3352522143879229
peptide_protein.m07,phospholipid_sphingolipid.m01,peptide_protein,phospholipid_sphingolipid,False,0.6085218841677584,0.11533423216821502,0.25,0.42150679976404926,0.41195199487419604,1.0,0.7564488150467461,0.3350573136723447
peptide_protein.m03,phospholipid_sphingolipid.m01,peptide_protein,phospholipid_sphingolipid,False,0.6623351365468789,0.12053156274076131,0.125,0.4240058386233872,0.863489325348908,1.0,0.752891543330668,0.33452761364966477
carboxylic_acid_metabolite.m00,fatty_acid.m01,carboxylic_acid_metabolite,fatty_acid,False,0.37696350620692237,0.20282813011982984,0.26666666666666666,0.2987590476846465,0.6228098277434142,1.0,0.46867574732892997,0.3340090021012844
mono_oligosaccharide.m01,peptide_protein.m03,mono_oligosaccharide,peptide_protein,False,0.4606504663644921,0.1263669574426568,0.375,0.3739769027105759,0.7419749131324085,1.0,0.3499104091548966,0.3323140481386147
mono_oligosaccharide.m03,nucleic_acid_polymer.m00,mono_oligosaccharide,nucleic_acid_polymer,False,0.44764518568532163,0.14120166363473136,0.25,0.28856114300583036,0.6288030754823924,1.0,0.8977372788513854,0.33230724311565707
carboxylic_acid_metabolite.m01,mono_oligosaccharide.m00,carboxylic_acid_metabolite,mono_oligosaccharide,False,0.5039842409626745,0.16325396239407278,0.375,0.1589267130633089,0.7338163417859813,1.0,0.559632798831116,0.33214873543836154
nucleic_acid_polymer.m00,pyrimidine.m00,nucleic_acid_polymer,pyrimidine,False,0.5622765699683034,0.06257426957588041,0.5,0.4987802535969705,0.7397274452302915,1.0,0.5330154948207811,0.32976304874213697
mono_oligosaccharide.m00,purine.m00,mono_oligosaccharide,purine,False,0.4526095029683672,0.14768871110621765,0.25,0.323787647988145,0.6839448976071367,1.0,0.5338230575613566,0.3280601248380548
mono_oligosaccharide.m01,polysaccharide.m00,mono_oligosaccharide,polysaccharide,False,0.464422450177969,0.11577574383933803,0.25,0.4444191286584578,0.7163393216524147,1.0,0.5469773001718848,0.327684393842507
free_amino_acid.m03,sulfur_thiol_cofactor.m00,free_amino_acid,sulfur_thiol_cofactor,False,0.554346655064075,0.0893455668291569,0.5,0.34854909905741127,0.6682389084666125,1.0,0.39265629443290717,0.32704240359792397
free_amino_acid.m00,peptide_protein.m08,free_amino_acid,peptide_protein,False,0.6182814537155805,0.298210895829621,0.375,0.41239686849684193,0.3878672876775344,0.0,1.0,0.32669194762604775
acylglycerol.m00,peptide_protein.m08,acylglycerol,peptide_protein,False,0.6328144168255149,0.2113892797934722,0.26666666666666666,0.6170692789753994,0.7799748638458316,0.0,1.0,0.32597138075624715
peptide_protein.m07,purine.m01,peptide_protein,purine,False,0.40578518994372564,0.20299671012031992,0.125,0.3274030914603088,0.5058002086465085,1.0,1.0,0.3241367752432383
peptide_protein.m06,sterol_steroid.m00,peptide_protein,sterol_steroid,False,0.6475807207636245,0.1903823750220922,0.375,0.5294393205577871,0.7892045967947298,0.0,0.8398106178312283,0.32283430911740846
mono_oligosaccharide.m01,small_nitrogenous.m00,mono_oligosaccharide,small_nitrogenous,False,0.35388928472032294,0.2155116575301777,0.125,0.3552426074193606,0.47604425934596717,1.0,1.0,0.322122578564676
carboxylic_acid_metabolite.m01,peptide_protein.m07,carboxylic_acid_metabolite,peptide_protein,False,0.5064321771035093,0.2620871469751874,0.125,0.1487281695676632,0.5194427331049722,1.0,0.976682736729659,0.3209521539729936
nucleic_acid_polymer.m00,peptide_protein.m09,nucleic_acid_polymer,peptide_protein,False,0.47815880426143775,0.38184947287828075,0.25,0.4423572586086801,0.6638458315877671,0.0,0.7189054101964598,0.32049285630476665
