analyte,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2-deoxy-d-ribose,0.01430551098796364,0.0626535575152392,0.0,0.017015628825156292,0.06185152097331472,0.0,0.023599515163873545,0.0,0.0,0.0,0.01941618882830261,0.009781870863778025,0.06662112380620175,0.047356503997757475,0.0,0.0,0.0709795146953345,0.056154257200941936,0.0,0.06537362064043865,0.12691255280447908,0.0,0.0,0.027834966578328943
a-dna,0.019983241606453383,0.013665326568275375,0.020054072860125706,0.06616093146133466,0.026294557243805184,0.0,0.0038204300974861278,0.017066961032459152,0.037889856820612966,0.0,0.0,0.014973623478796425,0.0,0.08115604758787201,0.0,0.012239060445598504,0.0637970228423959,0.12405063920378406,0.04035902933384921,0.051262042929416995,0.007610149788265956,0.029489789422457106,0.0,0.15424857701769923
acetoacetate,0.0,0.08240557345219207,0.0,0.0,0.0,0.11895363178703511,0.04434332331606873,0.0,0.0,0.04293709094656285,0.0,0.0,0.0,0.005469704238590739,0.10544774246146572,0.032622504275836246,0.0,0.0,0.015161261279956706,0.0,0.02995570459380638,0.0,0.2506307742854077,0.047184880449846596
acetyl coenzyme a,0.0030955047184081283,0.01721887104462728,0.0012283747306975129,0.2498516696851532,0.007464907310504669,0.0005138908680648308,0.004610008723230056,0.006576950904942297,0.0,0.03814734102757802,0.0,0.003813187645800848,0.0,0.025286608802210227,0.0,0.020368229909231615,0.08001166298190893,0.02539893044107657,0.04547681096628919,0.0,0.1426778552956558,0.0,0.05049527514224259,0.025640201419433566
acetyl-coa,0.02800433157179844,0.03771613450012387,4.234922126037443e-05,0.17723224340458257,0.026200949995863195,0.0005571518833888283,0.024458132911398808,0.01620797252964071,0.013952353442481566,0.0720802035661159,0.005610266442677232,0.0054107346836320125,0.002838249891037582,0.07415109904611272,0.007588440261161984,0.02325751650608,0.07631507793835858,0.005724865394760762,0.06989705760650261,0.0,0.09348485587733407,0.002325086634870084,0.07797831464853877,0.04477223145470565
adenine,7.188400392964725e-05,0.0,0.02934030280990322,0.2649595052360545,0.0003524261407787996,0.0,0.0,0.0,0.0,0.0090120625999139,0.0006544153083599604,0.012683473094112056,0.07194317216261711,0.003940569857171921,0.08609365820972639,0.0,0.018887836476899032,0.018564659780523934,0.0015676322776519748,0.0,0.05651362899672498,0.0,0.0,0.0
alanine,0.0008228916937510218,0.007743459788691056,0.0,0.0,0.0025568990958544776,0.0025897328757671103,0.02095645142974644,0.0,0.02634807691177767,0.0,0.021258547849333315,0.311335777527472,0.14342231966000882,0.04114099425761527,0.0,0.013594814733005145,0.004196079730583693,0.006395825619353808,0.0,0.0,0.004289331926385414,0.0,0.04093330762047982,0.0
alb,0.02928618104799666,0.141033170456401,0.0562012735780895,0.026655183665603526,0.0,0.017021381639539344,0.1013324770173944,0.06889049020836722,0.0,0.05559786896263836,0.0,0.043930760933936774,0.04726251206375666,0.0,0.12078904782976,0.0,0.007626598171451145,0.0,0.015295121321679692,0.014640772463691366,0.0,0.0017607503484508317,0.0,0.0
albumin,0.03198673083796681,0.09111924231423878,0.08267876397965111,0.022695466569616463,0.019536621792525164,0.013509294159529542,0.055582040636355655,0.06021988201626849,0.01699899112894419,0.05716003354929855,0.008355364699756737,0.03054607873298619,0.02654553307312163,0.0041874668169176585,0.09632862536956609,0.024476208490350284,0.016533053065614575,0.0003708526984086647,0.0223541225286351,0.04887544136267947,0.028903422745474482,0.035403815553126376,0.0,0.022912733610510345
amylopectin,0.017197755919238476,0.007177663205086399,0.021463349820076864,0.0,0.01989271051760129,0.003318891173978449,0.006288278359756969,0.0,0.0012452714605694513,0.0005612680147555921,0.009824051862026464,0.06858732568513962,0.0,0.008153676479441388,0.1955008482049609,0.0,0.0,0.007583089925476163,0.38433667178610437,0.0,0.008838682961230908,0.0,0.018840482525509836,0.0
