specific_condition,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
P2_CCA_vs_NC,G01,9,2,2,0.956,1.047,up,0.89,10.324,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_CCA_vs_NC,G07,9,2,2,1.046,1.046,up,1.0,10.314,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_CCA_vs_NC,G09,9,2,2,-0.819,1.039,down,0.67,10.252,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G05,9,2,2,-0.554,1.018,down,0.78,10.066,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G08,9,2,2,-0.51,0.995,down,0.78,9.852,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G06,9,2,2,0.817,0.987,up,0.89,9.781,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
CCA,G11,10,3,2,0.05,0.874,up,0.4,9.742,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
P2_LM_vs_NC,G04,9,2,2,0.978,0.978,up,1.0,9.705,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
CCA,G04,10,3,2,0.861,0.861,up,0.9,9.609,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
COVID_vs_Healthy,G06,7,2,1,-1.252,1.252,down,1.0,9.463,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G07,9,2,2,0.947,0.947,up,1.0,9.423,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_CCA_vs_NC,G11,9,2,2,-0.434,0.936,down,0.67,9.326,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G09,9,2,2,-0.706,0.924,down,0.67,9.216,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
LM,G04,8,2,1,1.048,1.048,up,1.0,9.183,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
LM,G08,8,2,1,0.084,1.006,up,0.5,8.846,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
LM,G05,8,2,1,0.041,1.004,up,0.5,8.83,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
LM,G06,8,2,1,0.787,0.978,up,0.88,8.625,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
CCA,G10,9,2,1,0.686,0.849,up,0.56,8.541,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
CCA,G09,10,3,2,-0.318,0.725,up,0.4,8.249,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
LM,G07,8,2,1,0.927,0.927,up,1.0,8.216,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
COVID_vs_Healthy,G03,7,2,1,1.073,1.073,up,1.0,8.213,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G01,9,2,2,0.635,0.801,up,0.89,8.113,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G03,9,2,2,0.797,0.797,up,1.0,8.073,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_NC,G11,9,2,2,-0.372,0.789,down,0.67,7.998,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
