id,component,family,membrane_lipid,protein_backbone,aromatic_amino_acid,purine_nucleotide,pyrimidine_nucleotide,glycan_carbohydrate,redox_metabolite,nucleic_acid_backbone,dominant_axis,dominant_weight
71,myristic acid,Lipids,0.1534797107935334,0.12177392732918593,0.012301828092073176,0.011258384611166275,0.0030604342590702096,0.18058112101998114,0.004412646603209146,0.30919293851905133,nucleic_acid_backbone,0.30919293851905133
72,oleic acid,Lipids,0.17582137244736892,0.2189250227922679,0.07003187016872015,0.0555213521050873,0.04817500882278226,0.17915978982677164,0.018849381714341605,0.20570812384592052,protein_backbone,0.2189250227922679
73,palmitic acid,Lipids,0.19190697195632647,0.14397499579082035,0.011748326705567646,0.018666196918735795,0.004206822583647305,0.20792218936485538,0.0073817588370804705,0.22534816637582827,nucleic_acid_backbone,0.22534816637582827
74,l-α-phosphatidylcholine,Lipids,0.20679848785767957,0.24328847265873607,0.06721057143464423,0.11468304547456544,0.084835360280758,0.24147865587259543,0.019415038095465357,0.24661178647660317,nucleic_acid_backbone,0.24661178647660317
75,l-α-phosphatidylethanolamine,Lipids,0.21420222746844142,0.2551078622073088,0.10000632832393751,0.06288874117811674,0.1282945658549301,0.2830292326832047,0.018992530162714103,0.2780997005715104,glycan_carbohydrate,0.2830292326832047
76,palmitoleic acid,Lipids,0.1785023264502592,0.21229494317343597,0.08670062354994978,0.05468951763225085,0.06543897589118877,0.19559795174907796,0.023344113525329564,0.18221170115423765,protein_backbone,0.21229494317343597
77,stearic acid,Lipids,0.16010952056483513,0.12759484518620162,0.013497588413319543,0.005475279300016365,0.004120683356824244,0.0984493948182304,0.0027261380620329104,0.14166973634061591,membrane_lipid,0.16010952056483513
78,sphingomyelin,Lipids,0.22082185014974637,0.21252804118351826,0.034586127727026336,0.1021093058099275,0.057760750847282764,0.23723456681778893,0.018920746800678914,0.3260033745833842,nucleic_acid_backbone,0.3260033745833842
79,triarachidin,Lipids,0.12062552634374321,0.1449350085967699,0.01510880716784421,0.015917090313630877,0.012726418215007352,0.10205365483784704,0.01362506875825201,0.13555556205128258,protein_backbone,0.1449350085967699
80,tribehenin,Lipids,0.12053853163680553,0.14409568068025114,0.013070396822927932,0.01666779352992857,0.010671943208525284,0.09729009244001151,0.007864243085287825,0.12579705843290306,protein_backbone,0.14409568068025114
81,tricaproin,Lipids,0.202004094860063,0.18259709219334141,0.07274348127662876,0.06093200935733673,0.03373243987556182,0.14780736048402252,0.023596378087648168,0.13143158855676113,membrane_lipid,0.202004094860063
82,tricaprin,Lipids,0.18269142424267276,0.1922926895751248,0.03118154980538307,0.03468578157776853,0.0195343299690503,0.1597402551378161,0.015938667916088608,0.1942425761072965,nucleic_acid_backbone,0.1942425761072965
83,tricaprylin,Lipids,0.220057506897779,0.19163773179086718,0.08305362750714217,0.06644780268548096,0.05001278081554179,0.1687378409977291,0.01910691953737303,0.16485980764537125,membrane_lipid,0.220057506897779
84,trielaidin,Lipids,0.1635701881180919,0.15829020587402667,0.02399126380343263,0.0312710226578941,0.025965081497976012,0.11241226252947478,0.011405571685698411,0.14759898500896093,membrane_lipid,0.1635701881180919
85,tri-11-eicosenoin,Lipids,0.19240248533936996,0.20078998442416557,0.059891293251971185,0.07164734277100439,0.036051001529955384,0.12717690286505692,0.04423099486474358,0.17372604413744677,protein_backbone,0.20078998442416557
86,trierucin,Lipids,0.17332826212209307,0.19137702255735012,0.03065471686922762,0.03395370383025659,0.02190686158422776,0.1274869516758097,0.01595166823522809,0.16686150069684275,protein_backbone,0.19137702255735012
87,trilinolein,Lipids,0.12154229520605006,0.15511589104169585,0.035848882252063126,0.03136072933991973,0.008475596870547266,0.07104168313986306,0.018345853825173796,0.0694944598579698,protein_backbone,0.15511589104169585
88,trilinolenin,Lipids,0.07586518038299275,0.11276154560131449,0.026430874344109966,0.02306652731479474,0.009976301246847504,0.052460323889539265,0.017752527732790388,0.04151636093260851,protein_backbone,0.11276154560131449
89,trilaurin,Lipids,0.15904305408611558,0.1794235995931447,0.02246363381551024,0.025798020641778985,0.00978710378177584,0.15803356541197247,0.0144331755199043,0.17168753248593008,protein_backbone,0.1794235995931447
