perturbation,level,representation,molecule_top1,class_top1,class_top1_grouped,mean_confidence,ece
baseline_drift,0.2,csm,0.792,0.9493333333333334,0.8,0.0154485425863627,0.7765514574136373
baseline_drift,0.2,evidence,0.688,0.912,0.6293333333333333,0.008316470861698974,0.679683529138301
baseline_drift,0.4,raw,0.872,0.944,0.48533333333333334,0.010993205329621286,0.8610067946703787
baseline_drift,0.4,lsm,0.7066666666666667,0.8986666666666666,0.728,0.01479387211307484,0.6918727945535919
baseline_drift,0.4,csm,0.7386666666666667,0.9253333333333333,0.7573333333333333,0.014911202474622716,0.723755464192044
baseline_drift,0.4,evidence,0.5386666666666666,0.832,0.6026666666666667,0.00823927469303354,0.5304273919736331
baseline_drift,0.8,raw,0.6906666666666667,0.792,0.41333333333333333,0.010534125370700956,0.6801325412959657
baseline_drift,0.8,lsm,0.5653333333333334,0.7466666666666667,0.5946666666666667,0.014083089820137744,0.5512502435131956
baseline_drift,0.8,csm,0.584,0.808,0.6373333333333333,0.014142129046283846,0.5698578709537161
baseline_drift,0.8,evidence,0.4,0.6693333333333333,0.504,0.008131257795027089,0.3918687422049729
wavelength_shift,1.0,raw,0.968,0.992,0.592,0.011568398965717317,0.9564316010342827
wavelength_shift,1.0,lsm,0.8826666666666667,0.9706666666666667,0.8293333333333334,0.01578664677569316,0.8668800198909735
wavelength_shift,1.0,csm,0.8933333333333333,0.976,0.8346666666666667,0.01580020932806391,0.8775331240052694
wavelength_shift,1.0,evidence,0.8613333333333333,0.968,0.656,0.008421233476222277,0.852912099857111
wavelength_shift,2.0,raw,0.9626666666666667,0.992,0.592,0.011523382744282516,0.9511432839223841
wavelength_shift,2.0,lsm,0.8746666666666667,0.9706666666666667,0.832,0.01572775157392239,0.8589389150927443
wavelength_shift,2.0,csm,0.888,0.976,0.8266666666666667,0.01575944291370253,0.8722405570862974
wavelength_shift,2.0,evidence,0.8533333333333334,0.9653333333333334,0.6586666666666666,0.008413391297537676,0.8449199420357957
wavelength_shift,4.0,raw,0.9466666666666667,0.9813333333333333,0.5706666666666667,0.011359008490677416,0.9353076581759893
wavelength_shift,4.0,lsm,0.8453333333333334,0.96,0.8106666666666666,0.01554484501562671,0.8297884883177067
wavelength_shift,4.0,csm,0.856,0.968,0.8133333333333334,0.015602377920467377,0.8403976220795326
