chemical_class,molecule,k_c,ev,rmse,cosine,residual_energy,band_ev,n_bands,n_motifs_used
sterol_steroid,cholesterol,3,0.85913,0.01411,0.92689,0.14087,0.85897,25,3
sterol_steroid,cholesteryl linoleate,3,0.84167,0.0153,0.91742,0.15833,0.82602,17,1
sterol_steroid,cholesteryl oleate,3,0.94939,0.00865,0.97437,0.05061,0.96281,18,2
sterol_steroid,cholesteryl palmitate,3,0.95169,0.00845,0.97554,0.04831,0.97791,16,1
sterol_steroid,cholesteryl stearate,3,0.91515,0.0112,0.95663,0.08485,0.95389,15,1
sterol_steroid,diethylstilbestrol,3,0.93769,0.0096,0.96834,0.06231,0.96671,18,1
sterol_steroid,estradiol,3,0.95338,0.0083,0.97641,0.04662,0.97224,30,2
sterol_steroid,estriol,3,0.95314,0.00833,0.97629,0.04686,0.97232,33,2
sterol_steroid,estrone,3,0.83918,0.01542,0.91607,0.16082,0.89588,25,1
sterol_steroid,ethinylestradiol,3,0.81557,0.01652,0.90309,0.18443,0.8818,29,2
sulfur_thiol_cofactor,acetyl-coa,2,0.92638,0.01022,0.96249,0.07362,0.94508,18,1
sulfur_thiol_cofactor,coenzyme a,2,0.94453,0.00867,0.97187,0.05547,0.96478,21,2
sulfur_thiol_cofactor,ergothioneine,2,0.99833,0.00157,0.99916,0.00167,0.99962,18,1
sulfur_thiol_cofactor,glutathione,2,0.6168,0.02085,0.78536,0.3832,0.68586,18,2
