molecule,true_class,fold,rank_csm,rank_chem,moved,helped,hurt
tryptophan,free_amino_acid,0,1,1,0,False,False
tryptophan,free_amino_acid,0,1,1,0,False,False
tubulin,peptide_protein,4,154,154,0,False,False
tyrosine,free_amino_acid,3,1,1,0,False,False
tyrosine,free_amino_acid,3,1,1,0,False,False
tyrosine,free_amino_acid,3,1,1,0,False,False
tyrosine,free_amino_acid,3,1,1,0,False,False
ubiquitin,peptide_protein,2,2,2,0,False,False
ubiquitin,peptide_protein,2,1,1,0,False,False
ubiquitin,peptide_protein,2,6,6,0,False,False
uracil,pyrimidine,0,1,1,0,False,False
uracil,pyrimidine,0,1,1,0,False,False
uracil,pyrimidine,0,1,1,0,False,False
uracil,pyrimidine,0,1,1,0,False,False
urate,purine,1,1,1,0,False,False
urate,purine,1,1,1,0,False,False
urate,purine,1,1,1,0,False,False
urea,small_nitrogenous,2,1,1,0,False,False
urea,small_nitrogenous,2,1,1,0,False,False
urea,small_nitrogenous,2,1,1,0,False,False
urea,small_nitrogenous,2,2,2,0,False,False
vaccenic acid,fatty_acid,1,154,154,0,False,False
valine,free_amino_acid,1,1,1,0,False,False
valine,free_amino_acid,1,1,1,0,False,False
valine,free_amino_acid,1,1,1,0,False,False
valine,free_amino_acid,1,1,1,0,False,False
valine,free_amino_acid,1,2,2,0,False,False
xanthine,purine,4,1,1,0,False,False
xanthine,purine,4,1,1,0,False,False
xanthine,purine,4,1,1,0,False,False
xylanase,peptide_protein,3,1,1,0,False,False
xylanase,peptide_protein,3,1,1,0,False,False
xylanase,peptide_protein,3,4,4,0,False,False
α-chymotrypsinogen a (type ii),peptide_protein,4,2,2,0,False,False
α-chymotrypsinogen a (type ii),peptide_protein,4,1,1,0,False,False
α-chymotrypsinogen a (type ii),peptide_protein,4,4,4,0,False,False
α-linolenic acid,fatty_acid,2,154,154,0,False,False
α-phosphatidylcholine,phospholipid_sphingolipid,2,154,154,0,False,False
α-phosphatidylethanolamine,phospholipid_sphingolipid,3,154,154,0,False,False
β-carotene,chromophore_pigment,1,154,154,0,False,False
β-d-glucose,mono_oligosaccharide,4,154,154,0,False,False
