axis,recall,precision
carboxylic_acid_metabolite,1.0,0.12105263157894737
carboxylic_acid_metabolite,1.0,0.12169312169312169
carboxylic_acid_metabolite,1.0,0.12234042553191489
carboxylic_acid_metabolite,1.0,0.12299465240641712
carboxylic_acid_metabolite,1.0,0.12365591397849462
carboxylic_acid_metabolite,1.0,0.12432432432432433
carboxylic_acid_metabolite,1.0,0.125
carboxylic_acid_metabolite,1.0,0.12568306010928962
carboxylic_acid_metabolite,1.0,0.12637362637362637
carboxylic_acid_metabolite,1.0,0.1270718232044199
carboxylic_acid_metabolite,1.0,0.12777777777777777
carboxylic_acid_metabolite,1.0,0.12849162011173185
carboxylic_acid_metabolite,1.0,0.12921348314606743
carboxylic_acid_metabolite,1.0,0.12994350282485875
carboxylic_acid_metabolite,1.0,0.13068181818181818
carboxylic_acid_metabolite,1.0,0.13142857142857142
carboxylic_acid_metabolite,1.0,0.13218390804597702
carboxylic_acid_metabolite,1.0,0.1329479768786127
carboxylic_acid_metabolite,1.0,0.13372093023255813
carboxylic_acid_metabolite,1.0,0.13450292397660818
carboxylic_acid_metabolite,1.0,0.13529411764705881
carboxylic_acid_metabolite,1.0,0.13609467455621302
carboxylic_acid_metabolite,1.0,0.13690476190476192
carboxylic_acid_metabolite,1.0,0.1377245508982036
carboxylic_acid_metabolite,1.0,0.13855421686746988
carboxylic_acid_metabolite,1.0,0.1393939393939394
carboxylic_acid_metabolite,1.0,0.1402439024390244
carboxylic_acid_metabolite,1.0,0.1411042944785276
carboxylic_acid_metabolite,1.0,0.1419753086419753
carboxylic_acid_metabolite,1.0,0.14285714285714285
carboxylic_acid_metabolite,1.0,0.14375
carboxylic_acid_metabolite,1.0,0.14465408805031446
carboxylic_acid_metabolite,1.0,0.14556962025316456
carboxylic_acid_metabolite,1.0,0.1464968152866242
carboxylic_acid_metabolite,1.0,0.14743589743589744
carboxylic_acid_metabolite,1.0,0.14838709677419354
carboxylic_acid_metabolite,1.0,0.14935064935064934
carboxylic_acid_metabolite,1.0,0.1503267973856209
carboxylic_acid_metabolite,1.0,0.1513157894736842
carboxylic_acid_metabolite,1.0,0.152317880794702
carboxylic_acid_metabolite,1.0,0.15333333333333332
carboxylic_acid_metabolite,1.0,0.15436241610738255
carboxylic_acid_metabolite,1.0,0.1554054054054054
carboxylic_acid_metabolite,1.0,0.1564625850340136
carboxylic_acid_metabolite,1.0,0.15753424657534246
carboxylic_acid_metabolite,1.0,0.15862068965517243
carboxylic_acid_metabolite,1.0,0.1597222222222222
carboxylic_acid_metabolite,1.0,0.16083916083916083
carboxylic_acid_metabolite,1.0,0.1619718309859155
carboxylic_acid_metabolite,1.0,0.16312056737588654
carboxylic_acid_metabolite,1.0,0.16428571428571428
carboxylic_acid_metabolite,1.0,0.16546762589928057
carboxylic_acid_metabolite,1.0,0.16666666666666666
carboxylic_acid_metabolite,1.0,0.1678832116788321
carboxylic_acid_metabolite,1.0,0.16911764705882354
carboxylic_acid_metabolite,1.0,0.17037037037037037
carboxylic_acid_metabolite,1.0,0.17164179104477612
carboxylic_acid_metabolite,1.0,0.17293233082706766
