family,base_family,K,usable,non_negative_activations,rmse,explained_variance,mean_cosine,relative_frobenius,information_retained_vs_chemistry_evidence,heldout_chemistry_top1,heldout_chemistry_top3,heldout_chemistry_retention,bootstrap_stability,bootstrap_min,n_programmes_unstable,sparsity,max_pairwise_overlap,max_single_axis_share,mean_pairwise_overlap,activation_entropy,dominance,effective_rank,compression_ratio,replicate_consistency,mutual_information_norm,eligible,ineligible_reason,objective
pca_control,pca_control,9,True,False,0.07912877810544443,0.8222819755144085,0.9304881126620844,0.35613011970416747,0.8222819755144085,0.6613333333333333,0.928,0.8763250883380613,,,-1,0.38336916434606655,0.88048910674483,0.24381134310161087,0.5347684878243268,0.4357698654355965,0.20533333333333334,7.77804341445396,1.7777777777777777,0.9618745322035646,2.6488251236509046,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,10,True,False,0.07166490256665124,0.8542275048526502,0.944905267335075,0.32253790518083314,0.8542275048526502,0.6826666666666666,0.9333333333333333,0.904593639574773,,,-1,0.3862228458230513,0.88048910674483,0.2550129547643672,0.50718771426111,0.45510632147300356,0.184,8.450061345343626,1.6,0.9560645829562939,2.893500559675267,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,11,True,False,0.06406371651733415,0.8835104902691763,0.9562668524598712,0.2883277055233877,0.8835104902691763,0.6933333333333334,0.944,0.9187279151931289,,,-1,0.37690683120022717,0.88048910674483,0.2550129547643672,0.5230637913150692,0.4766465288927031,0.184,9.106105971625553,1.4545454545454546,0.9535824987298711,3.145489148838679,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,12,True,False,0.05555749568790381,0.9123911699905756,0.9672294370995966,0.2500442704098272,0.9123911699905756,0.7013333333333334,0.9466666666666667,0.9293286219068958,,,-1,0.36958334426028255,0.88048910674483,0.2550129547643672,0.5112402319140309,0.5039382868944116,0.184,9.771485180636182,1.3333333333333333,0.9525031660207783,3.3364144620086384,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,13,True,False,0.0462143840402505,0.9393798654418519,0.9763364814437444,0.2079942912599629,0.9393798654418519,0.704,0.9466666666666667,0.9328621908114847,,,-1,0.3662831075996492,0.930837552996225,0.2550129547643672,0.5057828761736036,0.5128504148237027,0.184,10.42575486832352,1.2307692307692308,0.9510068808278033,3.533143597893452,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,14,True,False,0.03463896810435158,0.9659440931074658,0.9872540049877992,0.15589751482062636,0.9659440931074658,0.7066666666666667,0.944,0.9363957597160737,,,-1,0.36999624960692945,0.930837552996225,0.2614130953050662,0.49808555438534774,0.5180426005211716,0.184,11.086786347608914,1.1428571428571428,0.9501416590837709,3.7681061458614407,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,15,True,False,0.02150026280072059,0.986879508784297,0.9934369914079134,0.09676493619917097,0.986879508784297,0.7146666666666667,0.944,0.9469964664298406,,,-1,0.37809393326668594,0.930837552996225,0.2614130953050662,0.49003437997670735,0.5290130485358769,0.184,11.674942389415712,1.0666666666666667,0.949009170664647,3.9851794462774603,False,"signed activations — control only, never a candidate (P-02)",
pca_control,pca_control,16,True,False,2.2101857792953762e-16,1.0,0.9999999999971754,9.94724985011179e-16,1.0,0.736,0.9466666666666667,0.9752650176665522,,,-1,0.40029840793571525,0.930837552996225,0.39728068790202464,0.4586540511819047,0.5362758804406917,0.184,12.122881778672346,1.0,0.9488492253011348,4.157324973026393,False,"signed activations — control only, never a candidate (P-02)",
ica_control,ica_control,2,True,False,0.15133525019651867,0.34995599674121525,0.731201651006308,0.6811054341838512,0.34995599674121525,0.24266666666666667,0.6053333333333333,0.3215547703175951,,,-1,0.38240714638926465,0.5748382485919402,0.22272419251762784,0.5748382485919402,0.14522556048284696,0.672,2.0000000000000004,8.0,0.9760856115666375,0.7517916518206301,False,"signed activations — control only, never a candidate (P-02)",
ica_control,ica_control,3,True,False,0.13817781821459812,0.45807495781524454,0.7750887668354987,0.6218885735307431,0.45807495781524454,0.3973333333333333,0.832,0.5265017667837546,,,-1,0.4293544895828842,0.7112333607508976,0.2708748590040025,0.4726925251052472,0.20057219953365318,0.49333333333333335,2.9999999999999996,5.333333333333333,0.9643990011861603,1.0690273413531712,False,"signed activations — control only, never a candidate (P-02)",
ica_control,ica_control,4,True,False,0.12669405569997655,0.544409105282849,0.8211830740490553,0.5702042961173273,0.544409105282849,0.616,0.8373333333333334,0.8162544169600491,,,-1,0.41210865433907873,0.8768052259732979,0.2381420747014292,0.4994548013705156,0.3646910111300404,0.3626666666666667,3.999999999999999,4.0,0.9661407954755125,1.2690647604783285,False,"signed activations — control only, never a candidate (P-02)",
