path,phase,role,size_bytes,size_mb,modified,kind
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/per_sample_bsv.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,18753,0.019,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/per_sample_delta_bsv.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,19142,0.019,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/per_sample_retrieval_hits.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,78885,0.079,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/retrieval_hit_summary_by_class.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,806,0.001,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/sample_cluster_assignments.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,18012,0.018,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/sample_family_fingerprint.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,35079,0.035,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_target_validation_v1/tables/sample_query_spectra.csv,autoresearch::pilot2_target_validation_v1,autoresearch_tables,2086178,2.086,2026-04-02 15:37,csv
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/audit/gaira_base_4_diabetes_ev_bsv_mss_audit_v1_audit_log.md,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_audit,959,0.001,2026-04-24 21:59,md
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/figures/fig_auroc_all_pipelines.png,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_figures,86009,0.086,2026-04-24 21:59,png
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/figures/fig_feature_stability.png,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_figures,34395,0.034,2026-04-24 21:59,png
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/figures/fig_fold_variance.png,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_figures,69213,0.069,2026-04-24 21:59,png
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/reports/REPORT_diabetes_ev_bsv_mss_audit_v1.md,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_reports,5107,0.005,2026-04-24 21:59,md
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/tables/all_pipeline_performance.csv,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_tables,5248,0.005,2026-04-24 21:59,csv
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/tables/auroc_jump_decomposition.csv,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_tables,385,0.0,2026-04-24 21:59,csv
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/tables/comparison_table.csv,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_tables,1059,0.001,2026-04-24 21:59,csv
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/tables/delta_reference_audit.csv,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_tables,709,0.001,2026-04-24 21:59,csv
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/tables/feature_stability.csv,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_tables,649,0.001,2026-04-24 21:59,csv
/Volumes/SSD_Rad/GAIRA_BUILD/gaira_base_4_diabetes_ev_bsv_mss_audit_v1/tables/fold_log.csv,prior_build::gaira_base_4_diabetes_ev_bsv_mss_audit_v1,prior_tables,74088,0.074,2026-04-24 21:59,csv
